German,English,Context
die Bahn ,rail,Wir fahren lieber mit der Bahn.
der Bahnhof ,train station,Wie komme ich am Besten zum Bahnhof?
der Bahnsteig ,platform,Auf welchem Bahnsteig fährt der Zug?
der Anschluss ,connection,In Mannheim haben Sie Anschluss nach Saarbru_cken.
der Ausflug ,short trip,Morgen machen wir einen Ausflug nach Heidelberg.
das Auto,car,Er kommt mit dem Auto.
aussteigen,get off(e.g. train),Wo muss ich aussteigen?
der Ausweis ,id card,Hier ist mein Ausweis.
einsteigen ,get on/in,"Schnell, steig ein, der Zug fährt gleich."
der Automat ,ticket machine,Die Fahrkarten gibt es nur am Automaten.
die Fahrkarte,travel ticket,Die Fahrkarten gibt es nur am Automaten.
der Bus,bus,Wann kommt der nächste Bus?
einfach (Fahrkarte),oneway,"Hin und zurück? – Nein, bitte nur einfach."
hin und zurück,return,"Hin und zuruück? – Nein, bitte nur einfach."
der Erwachsene ,adult,Dieser Film ist nur für Erwachsene.
eilig ,in a hurry,Hast du es eilig?
die Ecke,corner,An der nächsten Ecke links.
fahren ,travel,Ich fahre mit dem Auto zur Arbeit.
der Fahrer ,driver,Bitte nicht mit dem Fahrer sprechen!
das Fahrrad,bicycle,Fährst du mit dem Fahrrad oder mit dem Auto?
fliegen ,to fly,Ich fliege nicht gern. Deshalb fahre ich mit dem Zug.
abfliegen ,to fly out,Wann fliegst du ab?
der Abflug ,departure(plane),Der Abflug ist um 11.20 Uhr.
der Flughafen ,airport,Kannst du mich zum Flughafen bringen?
das Flugzeug ,plane,Das Flugzeug aus Berlin kommt heute später an.
das Gepäck ,luggage,Wollen Sie Ihr Gepäck mitnehmen?
das Gleis,platform/track,Der ICE nach Berlin hält heute an Gleis 12.
die Haltestelle ,(bus)stop,An der nächsten Haltestelle müssen Sie aussteigen.u
mieten ,to rent/hire,Ich möchte ein Auto mieten.
geradeaus ,straight ahead,Gehen Sie immer geradeaus!
die Information,info desk,"Wenn Sie Fragen haben, gehen Sie zur Information."
links ,left,Gehen Sie die nächste Straße links.
nach ,(travel) to,Ich gehe jetzt nach Hause.
der Ort,place,Der Ort liegt am Meer.
der Zug,train,Ich fahre gern mit dem Zug.
der Plan,map,Ich kaufe mir einen Stadtplan.
Rad fahren ,go by bicycle,Das Kind kann schon Rad fahren.
rechts,right,Die Schillerstraße ist hier rechts.
der Zoll ,customs,Wir müssen noch durch den Zoll.
zurück ,return,Einmal Frankfurt und zurück.
reisen,travel(long), Ich reise gern.
die Reise ,trip(long),Wir machen eine Reise nach Österreich.
die S-Bahn,train, Ich nehme lieber die S-Bahn.
schnell ,quickly,Er fährt schnell.
das Ticket,ticket,Wie viel kostet das Ticket?
die Straße,street,In welcher Straße wohnen Sie?
die Straßenbahn ,tram,Wo fährt die Straßenbahn ab?
